x,y
777.245,1747.71
834.296,1806.68
808.372,1655.54
855.799,1867.06
889.616,1906.76
713.139,1678.55
769.218,1753.49
848.785,1822.56
777.387,1708.63
844.992,1660.9
772.471,1834.19
915.992,1941.24
907.18,1849.9
813.788,1810.38
885.694,1794.7
769.941,1779.97
850.25,1877.5
788.558,1911.49
718.231,1782.89
832.587,1790.71
919.553,1830.87
835.082,1822.93
873.535,1820.02
887.142,1884.74
841.139,1813.25
805.117,1834.02
831.048,1761.88
782.318,1659.81
855.479,1914.33
883.866,1853.58
819.253,1849.96
813.633,1769.98
827.18,1819.73
839.818,1717.98
920.398,1897.84
908.824,1851.39
898.172,1915.53
835.92,1899.35
806.287,1819.4
896.785,1813.58
872.278,1782.91
839.043,1671.07
887.726,1830.66
787.131,1807.21
880.289,1950.93
824.624,1890.15
918.249,1928.36
877.374,1946.53
925.802,1899.04
775.867,1656.87
815.951,1815.95
828.405,1774.5
809.824,1756.77
860.621,1853.64
829.646,1904.76
735.453,1775.08
855.563,1862.25
828.966,1771.18
831.165,1753.29
751.013,1820.13
784.115,1620.53
815.814,1801.78
859.822,1834.72
870.013,1891.37
807.836,1841.87
883.93,1951.64
702.064,1724.75
828.294,1782.33
859.214,1863.57
913.98,1900.16
810.855,1838.76
856.701,1929.32
846.09,1871.91
788.234,1770.3
819.267,1699.99
837.668,1763.31
817.119,1740.35
817.119,1829.18
827.758,1685.77
843.178,1809.2
804.611,1814.23
870.875,1860.87
831.515,1737.82
860.652,1861.8
772.351,1763.3
854.555,1789.52
783.812,1844.52
766.246,1840.47
820.651,1846.26
898.298,1963.97
857.567,1916.64
881.807,1821.23
829.182,1775.48
900.535,1901.33
772.338,1805.1
818.492,1835.38
841.482,1803.79
867.453,1834.96
869.424,1897.73
865.676,1931.62
871.809,1740.83
774.872,1827.17
916.284,1964.18
900.004,1882.87
882.529,1742.19
754.681,1714.45
819.057,1900.22
864.162,1860.25
806.373,1787.76
861.525,1797.97
872.004,1770.12
793.876,1672.03
858.611,1811.81
830.307,1811.33
883.762,1949.59
807.956,1750.63
814.306,1833.78
915.604,1759.48
814.824,1814.92
835.549,1878.57
777.637,1829.99
794.957,1869.91
824.032,1748.9
969.946,1924.59
795.234,1734.9
768.435,1728.9
826.449,1809.8
839.399,1840.53
844.238,1791.23
875.781,1849.2
827.413,1804.56
825.431,1785.95
776.525,1764.6
878.753,1844.14
880.128,1894.26
840.331,1873.73
795.343,1814.91
821.671,1857.9
856.68,1840
758.146,1722.01
862.596,1853.2
822.325,1829.51
824.057,1840.84
902.358,1892.95
794.525,1773.34
804.051,1723.44
811.759,1807.03
844.877,1851.07
804.82,1737.41
889.309,1912.02
851.238,1824.62
803.78,1691.56
841.244,1884.05
909.772,1896.98
791.318,1641.34
831.083,1810.16
837.925,1801.18
792.43,1876.18
837.148,1892.78
838.475,1807.82
810.606,1833.38
887.964,1767.59
787.211,1754.31
923.594,1845.86
861.785,1741.22
895.568,1798.03
917.06,1911.77
781.719,1860.91
835.799,1838.91
797.063,1874.86
928.05,1871.65
887.338,1880.76
837.056,1847.97
918.217,1868.48
832.289,1838.43
776.401,1904.64
889.724,1816.59
878.375,1942.71
823.139,1775.57
849.229,1816.79
818.974,1766.03
829.523,1812.8
836.078,1760.6
822.414,1857.08
683.105,1737.09
815.282,1823.75
773.462,1775.8
781.707,1766.22
900.678,1844.88
867.796,1927.7
867.327,1920.98
908.869,1923.63
863.107,1918.84
854.101,1907.8
813.089,1806.82
825.004,1775.55
877.16,1809.67
794.393,1837.24
843.447,1749.15
805.444,1809.12
837.362,1808.88
778.792,1784.69
814.559,1680.59
817.421,1848.63
825.79,1778.52
819.286,1711.89
878.648,1842.25
799.08,1741.43
885.197,1892.48
835.157,1733.08
715.278,1657.99
786.723,1810.68
823.507,1853.75
884.04,1965.72
793.529,1814.52
880.747,1807.57
855.066,1761.64
867.435,1818.01
834.618,1905.76
931.709,1961.44
802.96,1838.65
794.018,1753.92
831.467,1830.78
879.448,1781.92
916.732,1874.28
908.744,1846.84
818.758,1881.02
928.49,1869.11
848.614,1858.54
885.046,1835.03
856.116,1934.83
781.818,1814.15
831.968,1779.49
801.334,1737.92
800.623,1821.15
817.97,1803.6
890.411,1871.4
894.715,1828.3
848.032,1849.6
737.286,1680.23
874.166,1878.4
853.048,1792.68
820.208,1653.13
888.645,1870.37
867.485,1693.47
896.442,1766.52
880.894,1833.67
860.931,1868.3
855.72,1831.02
795.74,1845.17
833.23,1767.71
819.135,1823.32
760.096,1736.3
846.395,1830.9
852.427,1889.76
800.365,1925.39
841.486,1818.33
821.416,1855.66
933.286,1829.85
834.249,1804.99
774.416,1745.84
849.932,1830.13
876.432,1867.43
845.811,1867.07
824.796,1800.56
818.965,1847.79
870.461,1908.89
898.355,1912.52
832.964,1891.88
852.762,1858.58
855.004,1833.52
835.65,1883.55
753.985,1715
901.407,1941.59
831.071,1856
896.695,1947.79
871.86,1864.36
892.726,1919.36
829.766,1812.98
765.131,1714.63
703.585,1736.77
767.99,1743.48
824.605,1783.34
909.908,1905.76
803.967,1839.15
864.988,1828.69
848.832,1804.14
847.082,1923.32
857.221,1797.91
907.788,1844.77
928.711,1857.45
817.008,1811.53
838.137,1792.09
850.432,1838.52
858.042,1763.07
866.84,1875.47
888.014,1786.86
854.441,1914.01
916.157,1921.88
807.578,1814.85
821.409,1889.29
844.561,1856.06
819.753,1783.09
896.739,1922.63
843.71,1712.81
852.259,1941.91
859.213,1791.89
820.587,1794.01
808.866,1815.01
802.174,1736.56
818.005,1805.26
828.73,1768.92
873.896,1901.25
897.186,1875.67
807.377,1809.27
897.023,1877.64
806.881,1764.71
830.738,1867.72
873.561,1901.97
807.477,1831.88
895.24,1825
868.258,1956.5
828.12,1899.83
844.758,1822.97
833.391,1725.59
892.768,1824.75
865.403,1861.89
872.839,1941.33
826.925,1856.5
811.462,1741.27
781.303,1794.52
888.346,1844.7
788.847,1758.72
903.532,1890.16
811.443,1922.74
844.609,1895.05
862.946,1928.52
795.429,1772.68
789.824,1833.98
826.715,1814.57
764.883,1732.97
868.355,1882.14
815.418,1868.92
822.541,1829.55
792.453,1769.21
923.966,1913.54
848.499,1874.95
757.311,1820.54
850.212,1869.98
818.799,1844.87
798.055,1806.96
812.216,1855.55
855.546,1843.62
841.671,1655.41
848.051,1832.02
895.844,1929.62
856.325,1916.82
857.23,1871.94
808.619,1899.75
770.771,1722.26
840.476,1867.92
854.951,1857.94
708.041,1787.19
790.607,1857.15
875.532,1856.3
732.433,1774.12
867.365,1945.56
849.399,1841.82
928.668,1923.06
848.592,1775.42
873.768,1820.69
851.852,1784.01
749.671,1794.32
794.64,1786.6
803.708,1801.16
744.723,1800.46
790.215,1708.26
838.508,1856
794.594,1937.51
853.127,1807.45
837.363,1707.63
878.66,1876.35
732.062,1853.21
831.33,1873.17
842.866,1841.87
796.694,1778.03
863.023,1827.23
876.845,1850.54
